Rank,Username,Categories,Subscribers,Country,Visits,Likes,Comments
1,tseries,Entertainment,249500000,IN,86200,2700,78
2,MrBeast,Entertainment,183500000,US,117400000,5300000,18500
3,CoComelon,Music,165500000,US,7000000,24700,0
4,SETIndia,Entertainment,162600000,IN,15600,166,9
5,KidsDianaShow,Hobby,113500000,US,3900000,12400,0
6,PewDiePie,Action_game,111500000,JP,2400000,197300,4900
7,LikeNastyaofficial,Lifestyle_(sociology),107500000,US,2600000,28000,0
8,VladandNiki,Hobby,101400000,US,4100000,22100,0
9,zeemusiccompany,Music_of_Asia,99700000,IN,74300,2600,32
10,WWE,Entertainment,97200000,US,184500,6300,214
11,BLACKPINK,Music,91300000,KR,863200,146900,3400
12,GoldminesTelefilms,Entertainment,89700000,IN,34600,421,13
13,SonySAB,Film,85400000,IN,35500,615,21
14,5MinuteCraftsYouTube,Lifestyle_(sociology),80300000,US,164600,703,35
15,BTS,Music,76500000,KR,969700,180300,7400
16,HYBELABELS,Pop_music,72700000,KR,440700,23900,932
17,zeetv,Entertainment,72500000,IN,7300,144,1
18,Pinkfong,Entertainment,69600000,US,506400,397,0
19,ChuChuTV,Film,67500000,IN,652100,17800,0
20,KondZilla,Hip_hop_music,66600000,BR,30400,1100,4
